te_ev,pressure_torr,radius_m,lambda_m,n_ar0,k_iz,nu_ion,nu_wall,dnu,rel_dnu,p_lambda_torr_cm,ne_sub_lo,ne_sub_hi,alpha_sub_hi,n_ar_star,f_star,ne_star,alpha_star,C_wall,C_Te,C_Ar,dlnk_dlnTe,ne_ref,nu_RR,nu_3b,class
0.5,0.5,0.005,0.002078509543367318,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,29474.91556995649,-29474.915560572106,0.9999999996816146,0.10392547716836589,0.04089782660187884,0.2044891330093942,1.2627452568739778e-23,9.075652729408176e+26,-56042.25896657337,nan,nan,nan,nan,nan,nan,0.2044891330093942,9.285525660920739e-20,9.461836685829086e-39,extinction
0.5,0.5,0.01,0.004154068068337296,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,7379.201989222589,-7379.201979838204,0.9999999987282656,0.2077034034168648,0.16335912595900096,0.8167956297950049,5.043812315012619e-23,4.541050002079759e+26,-28040.535835991614,nan,nan,nan,nan,nan,nan,0.8167956297950049,3.7089387922834067e-19,1.5095996669305563e-37,extinction
0.5,0.5,0.02,0.008284653061723664,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,1855.2735940391133,-1855.2735846547284,0.9999999949417785,0.4142326530861832,0.6497478300083909,3.2487391500419545,2.006135921339065e-22,2.2769608660519846e+26,-14059.51016687875,nan,nan,nan,nan,nan,nan,3.2487391500419545,1.4752006768969267e-18,2.3881668445730053e-36,extinction
0.5,0.5,0.05,0.020314161161742474,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,308.5736433877396,-308.5736340033548,0.9999999695878602,1.0157080580871236,3.9065553659331522,19.532776829665764,1.2061727159900117e-21,9.28604959868521e+25,-5733.248521312655,nan,nan,nan,nan,nan,nan,19.532776829665764,8.869522688649048e-18,8.633024167293305e-35,extinction
0.5,0.5,0.1,0.038122848105260086,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,87.61650758040058,-87.61649819601581,0.9999998928925036,1.9061424052630043,13.758367550874274,68.79183775437139,4.2479796142509964e-21,4.9481693388379765e+25,-3054.5547235558265,nan,nan,nan,nan,nan,nan,68.79183775437139,3.1237277273837665e-17,1.0708010880467652e-33,extinction
0.5,0.5,0.2,0.06271313410453205,1.619401315476905e+22,5.794971682292229e-28,9.384384765455449e-06,32.37722362856581,-32.37721424418104,0.999999710154741,3.1356567052266024,37.23173885838398,186.1586942919199,1.1495525692906896e-20,3.0079553636914023e+25,-1856.4490059652542,nan,nan,nan,nan,nan,nan,186.1586942919199,8.453169649712928e-17,7.841544815015396e-33,extinction
0.5,1.0,0.005,0.002078509543367318,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,14737.457784978245,-14737.457766209476,0.9999999987264582,0.20785095433673179,0.16359130656377063,0.8179565328188533,2.5254905161601943e-23,9.075652729408176e+26,-28020.629483286684,nan,nan,nan,nan,nan,nan,0.8179565328188533,3.7142102679159476e-19,1.5138938726246647e-37,extinction
0.5,1.0,0.01,0.004154068068337296,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,3689.6009946112945,-3689.600975842525,0.9999999949130625,0.4154068068337296,0.6534365063289967,3.2671825316449845,1.0087624668511575e-22,4.541050002079759e+26,-14019.767917995807,nan,nan,nan,nan,nan,nan,3.2671825316449845,1.4835755225735046e-18,2.4153594855190647e-36,extinction
0.5,1.0,0.02,0.008284653061723664,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,927.6367970195566,-927.6367782507871,0.999999979767114,0.8284653061723664,2.5989913594723855,12.994956797361928,4.01227190356301e-22,2.2769608660519846e+26,-7029.255083439375,nan,nan,nan,nan,nan,nan,12.994956797361928,5.90080279713041e-18,3.8210670672836293e-35,extinction
0.5,1.0,0.05,0.020314161161742474,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,154.2868216938698,-154.28680292510026,0.999999878351441,2.031416116174247,15.626222889413276,78.13111444706638,2.4123456520738093e-21,9.28604959868521e+25,-2866.1242606563274,nan,nan,nan,nan,nan,nan,78.13111444706638,3.547809399149055e-17,1.3812841188137588e-33,extinction
